Round 1
Pick,Team,Player,Elapsed Time,Rank,Total Fpts,Active Fpts,
3,Rumblin' Stumblers,Chris Godwin WR | TB ,44 sec,#79 WR,88,19.6
4,Steel Your League,J.K. Dobbins RB | DEN ,35 sec,#41 RB,126.2,56.1
5,Prometheus Out of Bounds,Michael Pittman WR | PIT ,10 sec,#24 WR,207.4,165.5
6,Ruff Necks,Nick Chubb RB | HOU,34 sec,#52 RB,95.1,0
7,The Young Core,Najee Harris RB | LAC ,19 sec,#103 RB,11.6,0
8,Chicken Dinner,Dallas Goedert TE | PHI ,37 sec,#3 TE,209.5,179.8
9,Pallino Primos,Quinshon Judkins RB | CLE ,9 sec,#26 RB,176.4,139.7
10,OnStar,*Ollie Gordon II RB | MIA,0 sec,#69 RB,54.8,0
11,jerseyj,Amari Cooper WR | LV,46 sec, WR,0,0
12,Dude Abides,Broncos DST | DEN ,32 sec,#5 DST,335.8,16
Round 11
Pick,Team,Player,Elapsed Time,Rank,Total Fpts,Active Fpts,
1,Dude Abides,J.J. McCarthy QB | MIN ,5 sec,#33 QB,136.7,18.2
2,jerseyj,Brandon Aubrey K | DAL ,3 sec,#3 K,202.6,197.6
3,OnStar,*Jets DST | NYJ ,1 sec,#32 DST,120,55
4,Pallino Primos,Braelon Allen RB | NYJ ,52 sec,#99 RB,15.3,0
5,Chicken Dinner,Jaydon Blue RB | DAL,16 sec,#93 RB,20.4,4.4
6,The Young Core,Drake Maye QB | NE,12 sec,#3 QB,483.1,256.3
7,Ruff Necks,T.J. Hockenson TE | MIN  (Keeper),0 sec,#26 TE,112.8,4.6
8,Prometheus Out of Bounds,Luther Burden III WR | CHI ,9 sec,#45 WR,153.4,3.2
9,Steel Your League,Christian Kirk WR | SF ,20 sec,#73 WR,101.6,0
10,Rumblin' Stumblers,Jake Ferguson TE | DAL,39 sec,#9 TE,188.1,104.3
11,Three-Eyed RAVEN,Cam Skattebo RB | NYG ,3 sec,#40 RB,128,37.4
12,Mulvihill Machine,Tua Tagovailoa QB | ATL ,1 min 15 sec,#23 QB,204.4,34.85
Round 12
Pick,Team,Player,Elapsed Time,Rank,Total Fpts,Active Fpts,
1,Mulvihill Machine,Vikings DST | MIN ,52 sec,#6 DST,282.4,102.7
2,Three-Eyed RAVEN,Josh Downs WR | IND ,3 sec,#49 WR,136.9,0
3,Rumblin' Stumblers,Brian Robinson Jr. RB | ATL ,46 sec,#64 RB,64.3,1.2
4,Steel Your League,Zach Ertz TE | WAS ,13 sec,#19 TE,131.4,91.6
5,Prometheus Out of Bounds,Bills DST | BUF ,1 min 14 sec,#10 DST,262.4,45
6,Ruff Necks,Steelers DST | PIT ,3 sec,#11 DST,256.2,145
