Round,Pick,Pick-Num,Team,Player,Position,Keeper,Starred,Elapsed Time,Rank,Total Fpts,Active Fpts
12,7,139,Chicken Dinner,Daniel Jones QB | IND,QB,False,False,1 min 19 sec,,,
12,8,140,Steel Your League,Jack Doyle TE |,TE,False,False,10 sec,,,
12,9,141,Ruff Necks,T.J. Hockenson TE | MIN,TE,False,False,16 sec,,,
12,10,142,No longer new guy,Younghoe Koo K | NYG,K,False,False,1 min 10 sec,,,
12,11,143,Lewd,Sammy Watkins WR |,WR,False,False,8 sec,,,
12,12,144,OnStar,Eagles DST | PHI,DST,False,False,18 sec,,,
13,1,145,OnStar,Dallas Goedert TE | PHI,TE,False,False,43 sec,,,
13,2,146,Lewd,Golden Tate WR | TEN,WR,False,False,29 sec,,,
13,3,147,No longer new guy,Deebo Samuel WR | WAS,WR,False,False,35 sec,,,
13,4,148,Ruff Necks,Joe Burrow QB | CIN,QB,False,False,27 sec,,,
13,5,149,Steel Your League,Ronald Jones RB |,RB,False,False,14 sec,,,
13,6,150,Chicken Dinner,Vikings DST | MIN,DST,False,False,35 sec,,,
13,7,151,Mulvihill Machine,Darius Slayton WR | NYG,WR,False,False,33 sec,,,
13,8,152,Soaring Marmots,Jalen Richard RB |,RB,False,False,9 sec,,,
13,9,153,Rumblin' Stumblers,Duke Johnson RB |,RB,False,False,0 sec,,,
13,10,154,Dude Abides,Greg Zuerlein K | NYJ,K,False,False,27 sec,,,
13,11,155,Pallino Primos,Ryan Succop K |,K,False,False,3 min 14 sec,,,
13,12,156,Three-Eyed RAVEN,Dan Bailey K |,K,False,False,52 sec,,,
14,1,157,Three-Eyed RAVEN,Michael Pittman WR | PIT,WR,False,False,3 sec,,,
14,2,158,Pallino Primos,Damien Harris RB | BUF,RB,False,False,39 sec,,,
14,3,159,Dude Abides,Ryan Tannehill QB | TEN,QB,False,False,14 sec,,,
14,4,160,Rumblin' Stumblers,Jerick McKinnon RB | KC,RB,False,False,0 sec,,,
14,5,161,Soaring Marmots,Jalen Reagor WR | LAC,WR,False,False,44 sec,,,
14,6,162,Mulvihill Machine,Chase Edmonds RB | WAS,RB,False,False,46 sec,,,
14,7,163,Chicken Dinner,Justin Jefferson WR | MIN,WR,False,False,1 min 53 sec,,,
14,8,164,Steel Your League,Robbie Gould K |,K,False,False,6 sec,,,
14,9,165,Ruff Necks,Mike Badgley K | BUF,K,False,False,37 sec,,,
