Round 1
5,Soaring Marmots,Justin Tucker K | BAL,,13 sec
6,Mulvihill Machine,Harrison Butker K | KC,,25 sec
7,Chicken Dinner,Daniel Jones QB | IND ,,1 min 19 sec
8,Steel Your League,Jack Doyle TE | ,,10 sec
9,Ruff Necks,T.J. Hockenson TE | MIN ,,16 sec
10,No longer new guy,Younghoe Koo K | NYG,,1 min 10 sec
11,Lewd,Sammy Watkins WR | ,,8 sec
12,OnStar,Eagles DST | PHI ,,18 sec
Round 13
Pick,Team,Player,Elig,Elapsed Time,
1,OnStar,Dallas Goedert TE | PHI ,,43 sec
2,Lewd,Golden Tate WR | TEN,,29 sec
3,No longer new guy,Deebo Samuel WR | WAS,,35 sec
4,Ruff Necks,Joe Burrow QB | CIN,,27 sec
5,Steel Your League,Ronald Jones RB | ,,14 sec
6,Chicken Dinner,Vikings DST | MIN ,,35 sec
7,Mulvihill Machine,Darius Slayton WR | NYG,,33 sec
8,Soaring Marmots,Jalen Richard RB | ,,9 sec
9,Rumblin' Stumblers,Duke Johnson RB | ,,0 sec
10,Dude Abides,Greg Zuerlein K | NYJ ,,27 sec
11,Pallino Primos,Ryan Succop K | ,,3 min 14 sec
12,Three-Eyed RAVEN,Dan Bailey K | ,,52 sec
Round 14
Pick,Team,Player,Elig,Elapsed Time,
1,Three-Eyed RAVEN,Michael Pittman WR | PIT ,,3 sec
2,Pallino Primos,Damien Harris RB | BUF,,39 sec
3,Dude Abides,Ryan Tannehill QB | TEN,,14 sec
4,Rumblin' Stumblers,Jerick McKinnon RB | KC,,0 sec
5,Soaring Marmots,Jalen Reagor WR | LAC,,44 sec
6,Mulvihill Machine,Chase Edmonds RB | WAS,,46 sec
7,Chicken Dinner,Justin Jefferson WR | MIN ,,1 min 53 sec
8,Steel Your League,Robbie Gould K | ,,6 sec
9,Ruff Necks,Mike Badgley K | BUF,,37 sec
10,No longer new guy,Hunter Renfrow WR | CAR,,1 min 4 sec
11,Lewd,Laviska Shenault Jr. WR | BUF,,4 sec
12,OnStar,Matt Prater K | BUF,,1 min 11 sec
Round 15
Pick,Team,Player,Elig,Elapsed Time,
1,OnStar,Tevin Coleman RB | ,,1 min 2 sec
2,Lewd,Malcolm Perry WR | ,,3 sec
3,No longer new guy,Baker Mayfield QB | TB,,2 min 2 sec
4,Ruff Necks,Brandon Aiyuk WR | SF ,,7 sec
5,Steel Your League,Titans DST | TEN ,,9 sec
6,Chicken Dinner,Matt Gay K | SF ,,28 sec
7,Mulvihill Machine,Sony Michel RB | ,,19 sec
8,Soaring Marmots,Teddy Bridgewater QB | DET ,,10 sec
9,Rumblin' Stumblers,Zane Gonzalez K | MIA ,,0 sec
10,Dude Abides,Parris Campbell WR | DAL,,1 min 32 sec
11,Pallino Primos,Preston Williams WR | ,,43 sec
12,Three-Eyed RAVEN,Anthony Miller WR | BAL,,7 sec
